tag,label,section,source_rule,clinical_reviewer,qbc_reviewer,decision,review_date,notes
D071,(復發) 哨兵淋巴結：陽性顆數,復發／de novo mBC,※「D070」為「1：陽性」時，必填。 填入範圍值：1-99,,,pending,,
D072,(復發) 哨兵淋巴結：哨兵淋巴結顆數,復發／de novo mBC,※「D070」為「0：陰性」或「1：陽性」時，必填。 填入範圍值：1-99,,,pending,,
D073,(復發) 腋下淋巴結,復發／de novo mBC,X：未檢驗 0：陰性 1：陽性,,,pending,,
D074,(復發) 腋下淋巴結：陽性顆數,復發／de novo mBC,※「D073」為「1：陽性」時，必填。 填入範圍值：1-99,,,pending,,
D075,(復發) 腋下淋巴結：腋下淋巴結顆數,復發／de novo mBC,※ 「D073」為「0：陰性」或「1：陽性」時，必填。 填入範圍值：1-99,,,pending,,
D076,(復發) ER,復發／de novo mBC,X：未檢驗 0：陰性 1：陽性,,,pending,,
D077,(復發) ER 數值,復發／de novo mBC,※「D076」為「1：陽性」時，才需填寫。 填入範圍值：01-100 整數百分比(%),,,pending,,
D078,(復發) PR,復發／de novo mBC,X：未檢驗 0：陰性 1：陽性,,,pending,,
D079,(復發) PR 數值,復發／de novo mBC,※「D078」為「1：陽性」時，才需填寫。 填入範圍值：01-100 整數百分比(%),,,pending,,
D080,(復發) HER2,復發／de novo mBC,X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+),,,pending,,
D081,(復發) HER2_FISH,復發／de novo mBC,※ 「D080」為「2：IHC 2+(equivocal or score 2+)」時，才需填寫。 0：negative 1：positive,,,pending,,
D082,(復發) Ki-67,復發／de novo mBC,0：未檢驗 1：有檢驗,,,pending,,
D083,(復發) Ki-67數值,復發／de novo mBC,填入範圍值：01-100 整數百分比(%),,,pending,,
D084,(復發) BRCA 1/2,復發／de novo mBC,X：未檢驗 0：無突變 1：有突變,,,pending,,
D085,(復發) PD-L1,復發／de novo mBC,X：未檢驗 0：陰性 1：陽性,,,pending,,
TM01,治療順序,治療療程,按醫事機構於畫面所新增之治療項目，從1開始自行排序 ※當收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填「TM01」為[1]，「TM02」為［1：治癒性手術］,,,pending,,
TM02,治療方式,治療療程,填入下列代碼1~7 ※當收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填「TM01」為[1]，「TM02」為［1：治癒性手術］ 1：治癒性手術 (新輔助性治療、直接治癒性手術) / 復發手術 (首次復發) 治癒性手術 (新輔助性治療、直接治癒性手術)：需再填「TM03」、「TM09」 復發手術 (首次復發)：需再填「TM03」、「TM04」、「TM09」 2：化學治療：需再填「TM03」、「TM09」、「TM10」 3：放射治療：需再填「TM03」、「TM07」、(TM08)、「TM09」、「TM10」 4：免疫治療：需再填「TM03」、「TM05」、(TM06)、「TM09」、「TM10」 5：標靶治療：需再填「TM03」、「TM05」、(TM06)、「TM09」、「TM10」 6：內分泌治療：需再填「TM03」、「TM09」 7：其他治療：需再填「TM03」、「TM05」、「TM06」、「TM09」、「TM10」,,,pending,,
TM03,治療情況,治療療程,1：本院治療 2：他院治療,,,pending,,
TM04,手術項目,治療療程,若「DIAG_TYPE」為[3:首次復發個案]且「TM02」為「1：復發手術」時，必填 1：乳癌復發處手術 2：腋下復發處手術 3：遠端轉移處手術,,,pending,,
TM05,藥物,治療療程,"填入代碼A1~A2、B1~B12、C1，可複選並以逗點相隔。 ※「TM02」包含[4：免疫治療]、[5：標靶治療]、[7：其他治療]才需填寫 e.g.A1,B3,B7,C1 (以半形英文逗號「,」連接數字) [4：免疫治療] A1：Pembrolizumab A2：其他 [5：標靶治療] B1：Abemaciclib B2：Olaparib B3：Palbociclib B4：Pertuzumab B5：Pertuzumab+Trastuzumab B6：Ribocilcib B7：Sacituzumab govitecan B8：Talazoparib B9：Trastuzumab B10：Trastuzumab deruxtecan B11：Trastuzumab emtansine B12：其他 [7：其他治療] C1：其他",,,pending,,
TM06,藥物 (其他),治療療程,「TM05」包含 [A2：其他]、[B12：其他]、[C1：其他]任一選項時，需填寫此欄位。,,,pending,,
TM07,部位,治療療程,"※「TM02」為[3：放射治療] 才需填寫 填入代碼A1~A5，可複選並以逗點相隔。 e.g.A1,A3,A5(以半形英文逗號「,」連接數字) [3：放射治療] A1：全乳房 A2：腋下淋巴結 A3：鎖骨上淋巴結 A4：胸壁 A5：其他",,,pending,,
TM08,部位 (其他),治療療程,「TM07」為 [A5：其他]時，需填寫此欄位。,,,pending,,
TM09,治療項目開始日期,治療療程,固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
TM10,治療項目結束日期,治療療程,※ 不可早於「TM08」的日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
T01,追蹤年度,年度追蹤,※ 一年追蹤(填寫)一次 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
T02,治療狀況,年度追蹤,1.已完成治療(必填追蹤狀況) 2.繼續在本院治療(必填追蹤狀況) 3.轉他院治療(必填轉出日期) 4.病人中斷治療(必填追蹤狀況) 5.於治療中死亡(必填死亡日期) 6.於治療中復發(必填結案日期，且應新增一筆首次復發個案) X.不詳,,,pending,,
T03,追蹤狀況,年度追蹤,1.在本院追蹤且定期檢查，無復發/轉移 2.轉他院追蹤(必填轉出日期) 3.個案中斷追蹤(必填結案日期) 4.於追蹤中死亡(必填死亡日期) 5.於追蹤中復發(必填結案日期，且應新增一筆首次復發個案) X.不詳,,,pending,,
T04,轉出日期,年度追蹤,※「T02」為 [3.轉他院治療(必填轉出日期)]或 「T03」為[2.轉他院追蹤(必填轉出日期)]時必填。 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
T05,結案日期,年度追蹤,※「T02」為[6.於治療中復發]或 「T03」為[3.個案中斷追蹤]、[5.於追蹤中復發]時必填。 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
T06,死亡日期,年度追蹤,※死亡視同結案。 「T02」為[5.於治療中死亡]或 「T03」為[4.於追蹤中死亡]時必填。 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
