tag,label,section,required_marker,always_required,source_format,max_length,data_type,allowed_values,multi_select,minimum,maximum,required_when,rule_ids,source_rule
D067,(復發) 癌症病理分期：TNM 計算結果,復發／de novo mBC,△,False,X(20),20,string,,False,,,['DIAG_TYPE=3'],"QBC-DIAGTYPE3-RECURRENCE-REQUIRED,QBC-D067-TNM","預設為空白，由系統自動計算「D064」、「D065」、「D066」三欄英文代號值合併計算結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D0064」填入[T4]，「D0065」填入[N0]，「D0066」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D0064」填入[T4]，「D0065」填入[Nx]，「D0066」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0：['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']"
D068,(復發) 復發位置,復發／de novo mBC,△,False,X(30),30,code-list,"1,2,3,4,5,6,7,8,9,10,11,12,13",True,,,['DIAG_TYPE=3'],"QBC-DIAGTYPE3-RECURRENCE-REQUIRED,QBC-D068-RECURRENCE","※ 填入代碼，可複選 ※ 複選以逗點相隔 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：乳房(局部復發) 2：遠端淋巴 3：皮膚 4：骨 5：肝 6：肺 7：腦 8：骨髓 9：胸膜 10：腹膜 11：腎上腺 12：對側腋下淋巴 13：其他"
D069,(復發) 復發位置：其他,復發／de novo mBC,△,False,X(200),200,string,,False,,,['DIAG_TYPE=3 AND D068 CONTAINS 13'],QBC-D069-OTHER,※ (復發) 復發位置「D068」選項包含「13：其他」，才需填寫 內容自訂，文字格式
D070,(復發) 哨兵淋巴結,復發／de novo mBC,△,False,X(1),1,code,"X,0,1",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,X：未檢驗 0：陰性 1：陽性
D071,(復發) 哨兵淋巴結：陽性顆數,復發／de novo mBC,△,False,X(2),2,integer,,False,1,99,['DIAG_TYPE=3 AND D070=1'],QBC-D071-SENTINEL,※「D070」為「1：陽性」時，必填。 填入範圍值：1-99
D072,(復發) 哨兵淋巴結：哨兵淋巴結顆數,復發／de novo mBC,△,False,X(2),2,integer,,False,1,99,"['DIAG_TYPE=3 AND D070 IN (0,1)']",QBC-D072-SENTINEL,※「D070」為「0：陰性」或「1：陽性」時，必填。 填入範圍值：1-99
D073,(復發) 腋下淋巴結,復發／de novo mBC,△,False,X(1),1,code,"X,0,1",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,X：未檢驗 0：陰性 1：陽性
D074,(復發) 腋下淋巴結：陽性顆數,復發／de novo mBC,△,False,X(2),2,integer,,False,1,99,['DIAG_TYPE=3 AND D073=1'],QBC-D074-AXILLARY,※「D073」為「1：陽性」時，必填。 填入範圍值：1-99
D075,(復發) 腋下淋巴結：腋下淋巴結顆數,復發／de novo mBC,△,False,X(2),2,integer,,False,1,99,"['DIAG_TYPE=3 AND D073 IN (0,1)']",QBC-D075-AXILLARY,※ 「D073」為「0：陰性」或「1：陽性」時，必填。 填入範圍值：1-99
D076,(復發) ER,復發／de novo mBC,△,False,X(1),1,code,"X,0,1",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,X：未檢驗 0：陰性 1：陽性
D077,(復發) ER 數值,復發／de novo mBC,△,False,X(3),3,integer,,False,1,100,['DIAG_TYPE=3 AND D076=1'],QBC-D077-ER,※「D076」為「1：陽性」時，才需填寫。 填入範圍值：01-100 整數百分比(%)
D078,(復發) PR,復發／de novo mBC,△,False,X(1),1,code,"X,0,1",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,X：未檢驗 0：陰性 1：陽性
D079,(復發) PR 數值,復發／de novo mBC,△,False,X(3),3,integer,,False,1,100,['DIAG_TYPE=3 AND D078=1'],QBC-D079-PR,※「D078」為「1：陽性」時，才需填寫。 填入範圍值：01-100 整數百分比(%)
D080,(復發) HER2,復發／de novo mBC,△,False,X(1),1,code,"X,0,1,2,3",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+)
D081,(復發) HER2_FISH,復發／de novo mBC,,False,X(1),1,code,"0,1",False,,,['DIAG_TYPE=3 AND D080=2'],QBC-D081-HER2,※ 「D080」為「2：IHC 2+(equivocal or score 2+)」時，才需填寫。 0：negative 1：positive
D082,(復發) Ki-67,復發／de novo mBC,△,False,X(1),1,code,"0,1",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,0：未檢驗 1：有檢驗
D083,(復發) Ki-67數值,復發／de novo mBC,△,False,X(3),3,integer,,False,1,100,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,填入範圍值：01-100 整數百分比(%)
D084,(復發) BRCA 1/2,復發／de novo mBC,△,False,X(1),1,code,"X,0,1",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,X：未檢驗 0：無突變 1：有突變
D085,(復發) PD-L1,復發／de novo mBC,,False,X(1),1,code,"X,0,1",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,X：未檢驗 0：陰性 1：陽性
