cancer_group,source_field,source_code_system,source_value_set,source_code,source_display,target_system,target_version,target_code,relationship,review_status,reviewer,evidence_reference,decision_date,notes
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,5,首次療程僅有另類治療。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,6,首次療程為個案拒絕治療。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,7,他院診斷及治療，因癌症或其治療的併發症至申報醫院求診。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,8,他院診斷個案，為了其他疾病至申報醫院求診（不需申報）。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,9,首次療程不詳，也無法確認個案拒絕治療。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,LAT95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-lat95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-lat95-vs,0,不是成對器官。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,LAT95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-lat95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-lat95-vs,1,原發起源位在右側。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,LAT95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-lat95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-lat95-vs,2,原發起源位在左側。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,LAT95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-lat95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-lat95-vs,3,成對器官，只有單側侵犯，但起源於左側或右側則不清楚。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,LAT95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-lat95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-lat95-vs,4,成對器官，雙側侵犯但起源之側位不清楚，且病歷描述是單一原發。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,LAT95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-lat95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-lat95-vs,5,原發部位為身體中線的腫瘤（成對器官）。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,LAT95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-lat95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-lat95-vs,9,成對器官，但其側位不清楚。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,MCODE5,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-mcode5,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-mcode5-vs,2,原位（in situ），不具侵襲性。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,MCODE5,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-mcode5,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-mcode5-vs,3,侵襲性（invasive）或微侵襲。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CONFER,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-confer,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-confer-vs,1,組織病理學確診(Positive histology)。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CONFER,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-confer,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-confer-vs,2,細胞學確診(Positive cytology)。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CONFER,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-confer,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-confer-vs,4,經顯微鏡檢證實，但未描述其確診方式。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CONFER,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-confer,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-confer-vs,5,實驗室檢驗/腫瘤標記檢查為陽性，但未經顯微鏡檢證實。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CONFER,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-confer,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-confer-vs,6,直接察看診斷為癌症，但未經顯微鏡檢證實。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CONFER,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-confer,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-confer-vs,7,放射線或其他影像學檢查診斷為癌症，但未經顯微鏡檢證實。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CONFER,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-confer,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-confer-vs,8,僅臨床診斷(不包含5、6、7)。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CONFER,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-confer,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-confer-vs,9,不清楚是否經顯微鏡檢證實。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,PNI,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-pni,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-pni-vs,0,無神經侵襲。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
